method,k,operator,f1,micro_f1,macro_f1,recall,micro_recall,macro_recall,precision,micro_precision,macro_precision
TgSAGE,2,L2,0.5109413828868025,0.5116465863453815,0.5110398771584606,0.6677148846960168,0.6677148846960168,0.6677928553450702,0.4154959903359118,0.4147135416666667,0.4155898392919237
TgSAGE,3,L2,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgGIN,1,sigmoid,0.2463067298611641,0.37514518002322883,0.24466095393743972,0.3385744234800839,0.3385744234800839,0.33575524235169407,0.6848603729844064,0.4205729166666667,0.6861516807418447
TgGIN,2,sigmoid,0.4992638447045265,0.5357429718875502,0.498286277022701,0.69916142557652,0.69916142557652,0.696254352769211,0.4786697569450156,0.4342447916666667,0.4794427492008137
TgGIN,3,sigmoid,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgGIN,1,HAD,0.24657150221859234,0.3704994192799071,0.24877355863271358,0.33438155136268344,0.33438155136268344,0.33804218330904034,0.2737729683068196,0.4153645833333333,0.2750891265597148
TgGIN,2,HAD,0.38729605886155977,0.508433734939759,0.3891143922943021,0.6635220125786163,0.6635220125786163,0.6666666666666666,0.2734607027428371,0.412109375,0.2747395833333333
TgGIN,3,HAD,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgGIN,1,AVG,0.19626074495804233,0.3704994192799071,0.1956455075130328,0.33438155136268344,0.33438155136268344,0.3333333333333333,0.13889025375611458,0.4153645833333333,0.1384548611111111
TgGIN,2,AVG,0.39462517831389937,0.5140562248995985,0.39215606765995653,0.6708595387840671,0.6708595387840671,0.6666666666666666,0.279527537561146,0.4166666666666667,0.27777777777777773
TgGIN,3,AVG,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgGIN,1,L1,0.19626074495804233,0.3704994192799071,0.1956455075130328,0.33438155136268344,0.33438155136268344,0.3333333333333333,0.13889025375611458,0.4153645833333333,0.1384548611111111
TgGIN,2,L1,0.39462517831389937,0.5140562248995985,0.39215606765995653,0.6708595387840671,0.6708595387840671,0.6666666666666666,0.279527537561146,0.4166666666666667,0.27777777777777773
TgGIN,3,L1,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
TgGIN,1,L2,0.19626074495804233,0.3704994192799071,0.1956455075130328,0.33438155136268344,0.33438155136268344,0.3333333333333333,0.13889025375611458,0.4153645833333333,0.1384548611111111
TgGIN,2,L2,0.39462517831389937,0.5140562248995985,0.39215606765995653,0.6708595387840671,0.6708595387840671,0.6666666666666666,0.279527537561146,0.4166666666666667,0.27777777777777773
TgGIN,3,L2,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
GCRN,1,sigmoid,0.4702939475706561,0.4715447154471545,0.47038826187763244,0.42557651991614254,0.42557651991614254,0.42560109304743116,0.5293321917724755,0.5286458333333334,0.529528016740293
