method,k,operator,f1,micro_f1,macro_f1,recall,micro_recall,macro_recall,precision,micro_precision,macro_precision
TgGAT,1,L1,0.2840998518602085,0.2841614906832298,0.2687104467469294,0.24110671936758893,0.24110671936758893,0.22916333062858185,0.3531817898764703,0.34593572778827975,0.3318797303689688
TgGAT,2,L1,0.3953540544253257,0.38855255916345627,0.37717497570269354,0.4650856389986825,0.4650856389986825,0.456026509885133,0.35638983828222065,0.333648393194707,0.33317627444447895
TgGAT,3,L1,0.4405038073224748,0.4279624893435635,0.420862131825048,0.6613965744400527,0.6613965744400527,0.6559237154750565,0.3411035849504493,0.3163201008191556,0.31894981790190924
TgGAT,4,L1,0.4511765522354237,0.43756521739130433,0.4327275114840143,0.8287220026350461,0.8287220026350461,0.8289446792039034,0.31713969066625913,0.29725897920604916,0.2988571461248474
TgGAT,5,L1,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
TgGAT,1,L2,0.2850918338299164,0.2841614906832298,0.2724394296456655,0.24110671936758893,0.24110671936758893,0.2322561617488869,0.35484592286839195,0.34593572778827975,0.33544192509868676
TgGAT,2,L2,0.38562254624619485,0.3786461199779857,0.3694714030664109,0.45322793148880103,0.45322793148880103,0.44621394442370416,0.3485642850585916,0.32514177693761814,0.3272818114365404
TgGAT,3,L2,0.4506905584676656,0.43648763853367434,0.430817800257478,0.6745718050065876,0.6745718050065876,0.6712726460716566,0.35111298855983575,0.32262129804662887,0.3276675774682999
TgGAT,4,L2,0.4561391776742898,0.44104347826086954,0.43797030544710785,0.8353096179183136,0.8353096179183136,0.8405884327168016,0.32305767069112606,0.2996219281663516,0.30392849452119713
TgGAT,5,L2,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
TgSAGE,1,sigmoid,0.24665102289952326,0.2577639751552795,0.22658595459643832,0.21870882740447958,0.21870882740447958,0.2015084603439797,0.30776213105041356,0.31379962192816635,0.28543961414929153
TgSAGE,2,sigmoid,0.3340152870973301,0.33351678591084205,0.31666123115100087,0.39920948616600793,0.39920948616600793,0.3838889892784486,0.2933544242579801,0.28638941398865786,0.2763693021294539
TgSAGE,3,sigmoid,0.40379818395971806,0.3972719522591645,0.3848165008821729,0.613965744400527,0.613965744400527,0.5987389864413679,0.3053170767694694,0.29363579080025204,0.2882713869502332
TgSAGE,4,sigmoid,0.44121413454503533,0.4278260869565217,0.4235349099831282,0.8102766798418972,0.8102766798418972,0.8109379001109991,0.3088328462265429,0.29064272211720227,0.292090541868087
TgSAGE,5,sigmoid,0.46084193524724204,0.44594594594594594,0.44167144466818276,1.0,1.0,1.0,0.30338147647262464,0.28695652173913044,0.28695652173913044
TgSAGE,1,HAD,0.2280756637512978,0.23136645962732919,0.2253282065342387,0.1963109354413702,0.1963109354413702,0.20007956180576705,0.32340502855936964,0.28166351606805295,0.30309449105831726
TgSAGE,2,HAD,0.33566800525939716,0.32801320858558064,0.32261049026364147,0.3926218708827404,0.3926218708827404,0.3897890024267493,0.3030693433789109,0.28166351606805295,0.2834612788359597
TgSAGE,3,HAD,0.3887545339470446,0.3785166240409207,0.37216067241094797,0.5849802371541502,0.5849802371541502,0.5799947691736944,0.29633934405997386,0.27977315689981097,0.2789073413348556
